PeriodStart,PeriodEnd,Period,AirTemp,GtiFixedTilt,PanelTemp,PanelOutput
2019-12-31T00:00:00Z,2019-12-31T00:10:00Z,PT10M,7.3,0,7.3,0.228125
2019-12-31T00:10:00Z,2019-12-31T00:20:00Z,PT10M,7.2,0,7.2,0.225
2019-12-31T00:20:00Z,2019-12-31T00:30:00Z,PT10M,7.1,0,7.1,0.221875
2019-12-31T00:30:00Z,2019-12-31T00:40:00Z,PT10M,7.1,0,7.1,0.221875
2019-12-31T00:40:00Z,2019-12-31T00:50:00Z,PT10M,7.0,0,7.0,0.21875
2019-12-31T00:50:00Z,2019-12-31T01:00:00Z,PT10M,6.9,0,6.9,0.215625
2019-12-31T01:00:00Z,2019-12-31T01:10:00Z,PT10M,6.9,0,6.9,0.215625
2019-12-31T01:10:00Z,2019-12-31T01:20:00Z,PT10M,6.8,0,6.8,0.2125
2019-12-31T01:20:00Z,2019-12-31T01:30:00Z,PT10M,6.8,0,6.8,0.2125
2019-12-31T01:30:00Z,2019-12-31T01:40:00Z,PT10M,6.8,0,6.8,0.2125
2019-12-31T01:40:00Z,2019-12-31T01:50:00Z,PT10M,6.8,0,6.8,0.2125
2019-12-31T01:50:00Z,2019-12-31T02:00:00Z,PT10M,6.7,0,6.7,0.209375
2019-12-31T02:00:00Z,2019-12-31T02:10:00Z,PT10M,6.6,0,6.6,0.20625
2019-12-31T02:10:00Z,2019-12-31T02:20:00Z,PT10M,6.5,0,6.5,0.203125
2019-12-31T02:20:00Z,2019-12-31T02:30:00Z,PT10M,6.4,0,6.4,0.2
2019-12-31T02:30:00Z,2019-12-31T02:40:00Z,PT10M,6.3,0,6.3,0.196875
2019-12-31T02:40:00Z,2019-12-31T02:50:00Z,PT10M,6.2,0,6.2,0.19375
2019-12-31T02:50:00Z,2019-12-31T03:00:00Z,PT10M,6.1,0,6.1,0.190625
2019-12-31T03:00:00Z,2019-12-31T03:10:00Z,PT10M,6.0,0,6.0,0.1875
2019-12-31T03:10:00Z,2019-12-31T03:20:00Z,PT10M,5.9,0,5.9,0.184375
2019-12-31T03:20:00Z,2019-12-31T03:30:00Z,PT10M,5.9,0,5.9,0.184375
2019-12-31T03:30:00Z,2019-12-31T03:40:00Z,PT10M,5.8,0,5.8,0.18125
2019-12-31T03:40:00Z,2019-12-31T03:50:00Z,PT10M,5.8,0,5.8,0.18125
2019-12-31T03:50:00Z,2019-12-31T04:00:00Z,PT10M,5.7,0,5.7,0.178125
2019-12-31T04:00:00Z,2019-12-31T04:10:00Z,PT10M,5.7,0,5.7,0.178125
2019-12-31T04:10:00Z,2019-12-31T04:20:00Z,PT10M,5.6,0,5.6,0.175
2019-12-31T04:20:00Z,2019-12-31T04:30:00Z,PT10M,5.6,0,5.6,0.175
2019-12-31T04:30:00Z,2019-12-31T04:40:00Z,PT10M,5.6,0,5.6,0.175
2019-12-31T04:40:00Z,2019-12-31T04:50:00Z,PT10M,5.6,0,5.6,0.175
2019-12-31T04:50:00Z,2019-12-31T05:00:00Z,PT10M,5.5,0,5.5,0.171875
2019-12-31T05:00:00Z,2019-12-31T05:10:00Z,PT10M,5.5,0,5.5,0.171875
2019-12-31T05:10:00Z,2019-12-31T05:20:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T05:20:00Z,2019-12-31T05:30:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T05:30:00Z,2019-12-31T05:40:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T05:40:00Z,2019-12-31T05:50:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T05:50:00Z,2019-12-31T06:00:00Z,PT10M,5.3,0,5.3,0.165625
2019-12-31T06:00:00Z,2019-12-31T06:10:00Z,PT10M,5.3,0,5.3,0.165625
2019-12-31T06:10:00Z,2019-12-31T06:20:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T06:20:00Z,2019-12-31T06:30:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T06:30:00Z,2019-12-31T06:40:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T06:40:00Z,2019-12-31T06:50:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T06:50:00Z,2019-12-31T07:00:00Z,PT10M,5.5,0,5.5,0.171875
2019-12-31T07:00:00Z,2019-12-31T07:10:00Z,PT10M,5.5,0,5.5,0.171875
2019-12-31T07:10:00Z,2019-12-31T07:20:00Z,PT10M,5.4,0,5.4,0.16875
2019-12-31T07:20:00Z,2019-12-31T07:30:00Z,PT10M,5.3,0,5.3,0.165625
2019-12-31T07:30:00Z,2019-12-31T07:40:00Z,PT10M,5.3,0,5.3,0.165625
2019-12-31T07:40:00Z,2019-12-31T07:50:00Z,PT10M,5.2,0,5.2,0.1625
2019-12-31T07:50:00Z,2019-12-31T08:00:00Z,PT10M,5.1,0,5.1,0.159375
2019-12-31T08:00:00Z,2019-12-31T08:10:00Z,PT10M,5.1,0,5.1,0.159375
2019-12-31T08:10:00Z,2019-12-31T08:20:00Z,PT10M,5.1,0,5.1,0.159375
2019-12-31T08:20:00Z,2019-12-31T08:30:00Z,PT10M,5.1,0,5.1,0.159375
2019-12-31T08:30:00Z,2019-12-31T08:40:00Z,PT10M,5.0,0,5.0,0.15625
2019-12-31T08:40:00Z,2019-12-31T08:50:00Z,PT10M,5.0,0,5.0,0.15625
2019-12-31T08:50:00Z,2019-12-31T09:00:00Z,PT10M,5.0,0,5.0,0.15625
