,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
200,61e03a543dd99fc4b5ea40826717110462c2aa17916aaa18be8669cf3d883b5d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46879,d544dff0761efca82ad499c271fdda40f489da93b7ad9cf3a94ea392761b5657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
24688,dba82ff95bb50614ff5c77d539e5ea3bc7c7803c0cd7f5d5d63fffdd95c5a63c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25368,faf00370332eb111224c57ed933457db455afd66802f281eb66e4540b221f9b2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42517,f71cd7ed1deea9cd631e41563a0ef0609cc362687d114c3d0b6af773a8921145,1,1,1,1,1,1,1,2,0,2,0,1,2,1,0,1,1,1,2,1,0,2,0,1,1,1,1,2,0,1
31542,520a7af39112781e69846132234ab766c4b52d632c129b2237a15cc70bed88f6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21147,deeaa5c1101f116d0799ec88eeaee6482b7695466d8a60424c773a37c3da6c65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43163,bfd1a6087632d393ed16a92d281305850dfc202f2252cfdbbef7729934352002,3,3,4,1,2,2,4,3,2,3,2,3,2,4,1,3,3,2,3,2,3,2,3,3,4,2,3,2,3,3
32206,2b5079439d6af29716164156b1a095df3ee57a385141bf94ec790977905ee065,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35763,c449e090dceff15316d20dbe462eeed2941de592f7dbd73946d54e4b8d1ce1c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
